loan_id,customer_id,loan_type,loan_amount,loan_term_months,interest_rate,loan_start_date,collateral_type,collateral_value,monthly_loan_payment,loan_purpose,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount,customer_name,age,gender,nationality,occupation,employment_status,city,state,customer_segment,loyalty_classification,fee_structure,investment_advisor,joined_bank,annual_income,monthly_income,bank_deposits,checking_balance,savings_balance,credit_card_limit,credit_card_balance,credit_utilization_ratio,business_lending,existing_monthly_debt_payment,total_deposit_balance,deposit_to_income_ratio,age_group,income_band,customer_tenure_years,credit_utilization_band,credit_score_band,dti_band,ltv_band,has_recent_delinquency,loan_to_income_ratio,exposure_after_deposits
LOAN003431,CUST11123,Home Loan,6386684.72,246,6.84,2025-09-12,Property,9652384.67,48347.77,Home Purchase,713.0,0.508,0.662,0,0,Current,0,Low,117808.41,Krishna Wilson,62,Male,Indian,Factory Supervisor,Salaried,Jaipur,West Bengal,Private Banking,Platinum,Standard,Advisor F,2010-07-04,2206097.75,183841.48,5550415.9,556392.19,1921386.92,494450.64,215504.46,0.436,396247.69,38501.57,8028195.01,3.639,56-65,High,16.1,Moderate,Good,45-60%,60-80%,False,2.9,0.0
LOAN003432,CUST08498,Home Loan,3055047.4,239,7.45,2025-11-04,Property,5241744.62,24562.57,Home Purchase,645.0,0.612,0.583,1,23,Current,0,Medium,161298.42,Ishaan Brown,34,Female,Indian,Self Employed,Salaried,Delhi,Tamil Nadu,Priority,Jade,Standard,Advisor E,2023-09-01,913521.76,76126.81,1117282.9,85420.34,390873.33,336629.0,98604.83,0.293,228053.6,21668.6,1593576.57,1.744,26-35,Middle,2.9,Low,Fair,>60%,<=60%,True,3.34,1461470.8299999998
LOAN003433,CUST14483,Business Loan,1232934.3,79,13.22,2025-11-03,Business Asset,1939682.29,23451.69,Business Expansion,695.0,0.565,0.636,0,0,Current,0,Low,52453.42,Ayaan Chatterjee,46,Male,Indian,Retired,Salaried,Hyderabad,Gujarat,Priority,Gold,Standard,Advisor A,2000-06-20,873798.25,72816.52,1300908.8,254589.02,590135.64,60858.32,7280.75,0.12,726904.52,17852.06,2145633.46,2.456,46-55,Middle,26.1,Low,Good,45-60%,60-80%,False,1.41,0.0
LOAN003434,CUST01373,Home Loan,1240983.71,252,7.12,2020-01-17,Property,1396230.84,9503.27,Home Purchase,696.0,0.459,0.889,0,0,Current,0,Low,24181.38,Ayaan Wilson,41,Female,Indian,Consultant,Salaried,Kolkata,Uttar Pradesh,Retail,Platinum,Standard,Advisor B,2014-07-08,634739.54,52894.96,2220837.61,115276.57,758537.71,122445.57,28558.74,0.233,740744.13,16301.57,3094651.89,4.875,36-45,Lower Middle,12.0,Low,Good,45-60%,80-95%,False,1.96,0.0
LOAN003435,CUST05654,Business Loan,1753972.31,76,12.65,2022-09-26,Business Asset,2299829.84,33660.09,Business Expansion,672.0,0.765,0.763,7,138,Defaulted,1,High,137870.17,Kiara Singh,55,Female,Indian,Lawyer,Salaried,Ahmedabad,Rajasthan,Retail,Gold,Standard,Advisor D,2006-12-26,798408.63,66534.05,1382225.24,197055.66,414493.7,258520.35,23064.71,0.089,75498.53,19944.68,1993774.6,2.497,46-55,Lower Middle,19.6,Low,Good,>60%,60-80%,True,2.2,0.0
LOAN003436,CUST10024,Home Loan,2194292.78,242,8.23,2025-09-09,Property,2879319.56,18608.5,Home Purchase,694.0,0.675,0.762,0,0,Current,0,Medium,70617.21,Aditya Verma,40,Male,Indian,Sales Manager,Salaried,Pune,Maharashtra,Priority,Jade,Discounted,Advisor E,2003-03-08,691164.86,57597.07,1011489.13,100678.02,265132.59,136996.06,44526.8,0.325,305443.63,16972.88,1377299.74,1.993,36-45,Lower Middle,23.4,Moderate,Good,>60%,60-80%,False,3.17,816993.0399999998
LOAN003437,CUST07368,Home Loan,3879679.37,244,9.69,2021-09-07,Property,5619224.94,36450.53,Home Purchase,634.0,0.486,0.69,3,33,Current,0,Medium,159548.47,Krishna Singh,42,Male,Indian,Software Engineer,Self Employed,Hyderabad,Maharashtra,Priority,Jade,Standard,Advisor B,2009-03-07,1475063.95,122922.0,3156689.29,197369.26,1653411.33,145139.19,52633.94,0.363,1610319.21,21991.29,5007469.88,3.395,36-45,Middle,17.4,Moderate,Fair,45-60%,60-80%,True,2.63,0.0
LOAN003438,CUST03606,Personal Loan,525938.58,27,13.28,2025-05-01,Unsecured,0.0,22640.91,Personal Expense,715.0,0.459,,0,0,Current,0,Low,13692.54,Ananya Roy,53,Male,Indian,Lawyer,Business Owner,Mumbai,Uttar Pradesh,Retail,Jade,Standard,Advisor D,2004-03-09,603761.47,50313.46,955446.56,142971.11,613539.01,135312.82,37864.46,0.28,112039.2,447.34,1711956.68,2.835,46-55,Lower Middle,22.4,Low,Good,45-60%,,False,0.87,0.0
LOAN003439,CUST07297,Personal Loan,299565.12,29,15.04,2018-05-11,Unsecured,0.0,12384.48,Personal Expense,616.0,0.748,,4,56,Paid Off,0,High,38834.7,Shawn Mehta,34,Female,Indian,Self Employed,Self Employed,Delhi,Karnataka,Private Banking,Gold,Standard,Advisor E,2019-07-17,874386.72,72865.56,1317162.31,153703.85,819413.98,185444.38,30116.86,0.162,56600.75,40730.25,2290280.14,2.619,26-35,Middle,7.0,Low,Fair,>60%,,True,0.34,0.0
LOAN003440,CUST11061,Home Loan,2378707.96,240,10.93,2022-02-14,Property,4334403.47,24439.53,Home Purchase,686.0,0.747,0.549,3,60,Paid Off,0,Medium,78268.71,Rahul Wilson,40,Female,American,Self Employed,Salaried,Chennai,Rajasthan,Retail,Silver,Standard,Advisor A,2024-03-10,704687.41,58723.95,993451.74,42279.38,582349.3,246703.34,4174.61,0.017,56685.42,18516.2,1618080.42,2.296,36-45,Lower Middle,2.4,Low,Good,>60%,<=60%,True,3.38,760627.54
LOAN003441,CUST04406,Auto Loan,472582.05,67,11.33,2022-07-26,Vehicle,827824.68,9550.27,Vehicle Purchase,711.0,0.152,0.571,0,0,Current,0,Low,2846.39,Nisha Gupta,35,Female,Indian,Accountant,Business Owner,Kolkata,Telangana,Private Banking,Gold,Premium,Advisor B,2014-09-13,991963.74,82663.64,2923926.33,381942.43,1877746.31,334716.01,86759.68,0.259,130572.31,8949.77,5183615.07,5.226,26-35,Middle,11.9,Low,Good,<=35%,<=60%,False,0.48,0.0
LOAN003442,CUST14283,Home Loan,3398655.98,244,8.6,2024-07-23,Property,6229303.02,29527.05,Home Purchase,648.0,0.659,0.546,2,24,Current,0,Medium,196991.89,Nisha Sharma,65,Female,Indian,Self Employed,Retired,Delhi,Gujarat,Private Banking,Silver,Premium,Advisor E,2018-03-20,874386.72,72865.56,1422668.72,228158.29,825343.09,173172.41,52198.71,0.301,101648.81,15123.25,2476170.1,2.832,56-65,Middle,8.3,Moderate,Fair,>60%,<=60%,True,3.89,922485.8799999999
LOAN003443,CUST10021,Business Loan,1421966.36,96,13.41,2021-10-24,Property,2726290.99,24226.63,Business Expansion,697.0,0.33,0.522,0,0,Current,0,Low,28579.14,Rahul Mehta,42,Male,European,Consultant,Salaried,Delhi,Delhi,Retail,Platinum,Discounted,Advisor D,2004-09-23,1059043.02,88253.58,2199808.76,220079.16,818167.45,337572.47,73547.81,0.218,196558.49,3473.43,3238055.37,3.058,36-45,Middle,21.8,Low,Good,<=35%,<=60%,False,1.34,0.0
LOAN003444,CUST01515,Home Loan,3950536.56,233,7.93,2021-03-28,Property,7255063.13,33278.91,Home Purchase,682.0,0.592,0.545,0,0,Current,0,Low,83793.38,Aanya Das,55,Male,Indian,Business Owner,Self Employed,Pune,Maharashtra,Priority,Jade,Standard,Advisor A,2015-09-04,1525542.66,127128.56,2865395.54,264607.13,1417768.57,507874.01,132278.45,0.26,81659.75,37252.21,4547771.24,2.981,46-55,High,10.9,Low,Good,45-60%,<=60%,False,2.59,0.0
LOAN003445,CUST12917,Home Loan,3742126.43,242,8.54,2022-10-19,Property,5405170.8,32467.89,Home Purchase,665.0,0.369,0.692,0,0,Current,0,Low,47434.72,Aditya Verma,65,Male,Indian,Operations Manager,Retired,Bengaluru,Delhi,Retail,Gold,Discounted,Advisor D,2009-01-15,1061604.18,88467.02,1360567.65,164006.47,558313.64,103333.39,14194.74,0.137,369383.38,3502.01,2082887.76,1.962,56-65,Middle,17.5,Low,Fair,35-45%,60-80%,False,3.52,1659238.6700000002
LOAN003446,CUST03685,Personal Loan,568451.09,26,14.44,2024-01-02,Unsecured,0.0,25591.96,Personal Expense,671.0,0.761,,4,52,Paid Off,0,Medium,34766.07,Sara Verma,39,Male,Indian,Doctor,Business Owner,Lucknow,Gujarat,Retail,Platinum,Standard,Advisor D,2021-12-06,968992.93,80749.41,1814952.0,287542.88,597607.96,250743.19,37405.2,0.149,26328.51,38078.15,2700102.84,2.787,36-45,Middle,4.6,Low,Good,>60%,,True,0.59,0.0
LOAN003447,CUST10694,Home Loan,1621488.39,229,8.91,2021-12-21,Property,2199147.13,14750.28,Home Purchase,661.0,0.589,0.737,5,111,Defaulted,1,Medium,40180.45,Vikram Kapoor,59,Female,Indian,Accountant,Contract,Kolkata,Karnataka,Retail,Platinum,Premium,Advisor D,2007-12-30,422190.81,35182.57,651083.03,38620.81,310372.66,149937.24,39182.59,0.261,20424.83,7242.66,1000076.5,2.369,56-65,Lower Middle,18.6,Low,Fair,45-60%,60-80%,True,3.84,621411.8899999999
LOAN003448,CUST07112,Home Loan,2340141.91,249,8.85,2024-07-24,Property,2957406.84,20557.44,Home Purchase,698.0,0.535,0.791,0,0,Current,0,Low,52099.49,Krishna Das,47,Male,Indian,Doctor,Contract,Pune,Telangana,Private Banking,Gold,Standard,Advisor F,2013-11-28,1312059.82,109338.32,2468900.21,134561.58,689982.72,305018.89,31878.61,0.105,99246.4,25335.39,3293444.51,2.51,46-55,Middle,12.7,Low,Good,45-60%,60-80%,False,1.78,0.0
LOAN003449,CUST06028,Home Loan,3120130.19,251,7.87,2025-10-08,Property,5085247.96,25382.84,Home Purchase,641.0,0.91,0.614,3,45,Current,0,Medium,347870.43,Arjun Cunningham,30,Male,Indian,Data Analyst,Self Employed,Chennai,Karnataka,Retail,Silver,Standard,Advisor D,2023-09-12,820332.67,68361.06,1433642.64,237426.27,826157.49,152631.7,21484.55,0.141,214560.11,32132.87,2497226.4,3.044,26-35,Middle,2.9,Low,Fair,>60%,60-80%,True,3.8,622903.79
LOAN003450,CUST06435,Business Loan,3579568.58,95,12.83,2018-10-24,Property,6419679.82,60185.2,Business Expansion,663.0,0.82,0.558,4,151,Defaulted,1,High,276925.41,Shawn Rao,39,Female,Indian,Operations Manager,Retired,Bengaluru,West Bengal,Private Banking,Silver,Discounted,Advisor C,2009-05-11,1245883.27,103823.61,1163328.56,218165.18,696871.12,315789.4,112030.86,0.355,90409.96,23814.84,2078364.86,1.668,36-45,Middle,17.2,Moderate,Fair,>60%,<=60%,True,2.87,1501203.72
LOAN003451,CUST10525,Home Loan,2456361.81,238,7.6,2022-10-31,Property,3254815.99,20010.37,Home Purchase,683.0,0.554,0.755,1,11,Current,0,Medium,55946.61,Vikram Coleman,42,Female,European,Sales Manager,Self Employed,Bengaluru,West Bengal,Priority,Jade,Standard,Advisor A,2008-07-24,542573.79,45214.48,552194.72,55773.13,353290.22,69674.12,20196.86,0.29,38148.65,4021.5,961258.07,1.772,36-45,Lower Middle,18.0,Low,Good,45-60%,60-80%,True,4.53,1495103.7400000002
LOAN003452,CUST10305,Business Loan,3056697.91,85,11.29,2020-04-09,Property,5463380.8,52397.0,Business Expansion,657.0,0.838,0.559,4,68,Current,0,High,247410.82,Vikram Sharma,32,Female,Indian,Consultant,Salaried,Delhi,Tamil Nadu,Priority,Jade,Standard,Advisor C,2022-04-12,1239817.07,103318.09,2416045.25,472131.64,954675.04,265466.94,68599.6,0.258,233212.38,29363.52,3842851.93,3.1,26-35,Middle,4.3,Low,Fair,>60%,<=60%,True,2.47,0.0
LOAN003453,CUST02894,Home Loan,3837163.23,231,7.65,2023-07-10,Property,4092817.51,31785.11,Home Purchase,694.0,0.819,0.938,1,12,Current,0,Medium,209826.66,Krishna Kapoor,24,Female,Indian,Software Engineer,Salaried,Mumbai,Uttar Pradesh,Private Banking,Jade,Standard,Advisor A,2001-01-04,913652.57,76137.71,1247559.8,155996.26,374487.53,181409.52,4924.63,0.027,89412.23,33145.76,1778043.59,1.946,18-25,Middle,25.5,Low,Good,>60%,80-95%,True,4.2,2059119.64
LOAN003454,CUST02071,Business Loan,1542847.22,74,10.84,2020-04-28,Property,2409649.61,28679.08,Business Expansion,642.0,0.623,0.64,2,38,Current,0,Medium,161254.47,Vivaan Nair,50,Male,Indian,Shop Owner,Salaried,Delhi,Karnataka,Priority,Platinum,Discounted,Advisor B,2006-10-25,1074459.62,89538.3,3959697.42,723925.13,2233902.25,295443.39,89637.67,0.303,2055138.78,24968.17,6917524.8,6.438,46-55,Middle,19.7,Moderate,Fair,>60%,60-80%,True,1.44,0.0
LOAN003455,CUST07377,Home Loan,8794974.58,247,7.52,2022-03-05,Property,16394367.94,70097.1,Home Purchase,681.0,0.783,0.536,1,25,Current,0,Medium,316312.51,Shaurya Khan,35,Male,Indian,Marketing Manager,Business Owner,Chennai,Maharashtra,Retail,Silver,Standard,Advisor E,2009-09-03,2313591.85,192799.32,4624154.86,798172.06,2708128.27,788541.49,215078.07,0.273,435878.19,68519.21,8130455.19,3.514,26-35,High,16.9,Low,Good,>60%,<=60%,True,3.8,664519.3899999997
LOAN003456,CUST13283,Auto Loan,253897.88,59,11.65,2019-11-20,Vehicle,479261.95,5673.13,Vehicle Purchase,682.0,0.183,0.53,1,21,Current,0,Low,1616.0,Ishaan Wilson,29,Male,Indian,Doctor,Contract,Pune,Tamil Nadu,Priority,Jade,Premium,Advisor D,2006-03-01,696595.95,58049.66,1227478.04,194178.63,534580.04,171459.43,29975.55,0.175,123959.09,4495.43,1956236.71,2.808,26-35,Lower Middle,20.4,Low,Good,<=35%,<=60%,True,0.36,0.0
LOAN003457,CUST05783,Personal Loan,705077.77,48,14.13,2021-06-08,Unsecured,0.0,19313.3,Personal Expense,696.0,0.343,,1,21,Current,0,Low,13100.61,Ishaan Bose,52,Female,Indian,Nurse,Business Owner,Hyderabad,Rajasthan,Retail,Platinum,Standard,Advisor C,2013-02-05,1728993.28,144082.77,6623050.33,996132.79,1735977.68,371477.81,72261.32,0.195,112188.86,14269.95,9355160.8,5.411,46-55,High,13.5,Low,Good,<=35%,,True,0.41,0.0
LOAN003458,CUST00896,Home Loan,4639407.37,239,8.21,2025-08-31,Property,9113488.26,39479.69,Home Purchase,661.0,0.752,0.509,3,27,Paid Off,0,Medium,149759.93,Meera Khan,60,Male,Indian,Sales Manager,Salaried,Ahmedabad,Rajasthan,Priority,Gold,Standard,Advisor F,2010-01-24,1140963.52,95080.29,2926809.11,134549.98,1803801.95,190131.44,50071.32,0.263,364030.97,25214.09,4865161.04,4.264,56-65,Middle,16.5,Low,Fair,>60%,<=60%,True,4.07,0.0
LOAN003459,CUST03479,Home Loan,866532.21,241,7.36,2020-03-09,Property,1006082.31,6894.14,Home Purchase,666.0,0.453,0.861,0,0,Current,0,Low,16209.57,Ananya Singh,54,Male,Indian,Lawyer,Retired,Lucknow,Rajasthan,Priority,Gold,Standard,Advisor E,2002-12-27,337603.67,28133.64,988042.05,166877.93,293179.51,60670.56,17305.57,0.285,195954.59,5868.42,1448099.49,4.289,46-55,Low,23.6,Low,Fair,45-60%,80-95%,False,2.57,0.0
LOAN003460,CUST00059,Personal Loan,586955.34,46,13.49,2023-08-02,Unsecured,0.0,16412.18,Personal Expense,700.0,0.368,,0,0,Current,0,Low,11731.67,Neha Wilson,37,Male,Indian,Accountant,Unknown,Kolkata,Uttar Pradesh,Retail,Platinum,Standard,Advisor A,2016-02-07,2504833.59,208736.13,3842063.94,160216.48,1986063.18,479693.88,16523.68,0.034,249719.0,63755.8,5988343.6,2.391,36-45,High,10.5,Low,Good,35-45%,,False,0.23,0.0
LOAN003461,CUST05751,Home Loan,1109476.01,245,8.48,2023-09-30,Property,1655740.81,9539.58,Home Purchase,670.0,0.701,0.67,1,10,Current,0,Medium,35547.2,Krishna Rao,66,Female,Indian,Government Officer,Salaried,Mumbai,Tamil Nadu,Retail,Silver,Standard,Advisor D,2014-07-21,384950.47,32079.21,866652.31,93353.11,222494.23,122494.26,61216.38,0.5,176643.97,14169.06,1182499.65,3.072,66+,Low,12.0,Moderate,Good,>60%,60-80%,True,2.88,0.0
LOAN003462,CUST11290,Home Loan,1778015.73,243,7.94,2023-07-05,Property,2883475.76,14731.11,Home Purchase,689.0,0.672,0.617,1,11,Current,0,Medium,50251.93,Krishna Bose,26,Male,Indian,Marketing Manager,Salaried,Bengaluru,Telangana,Retail,Jade,Standard,Advisor F,2023-07-13,723234.04,60269.5,1467026.87,221760.24,520923.15,84705.6,16586.77,0.196,107537.79,18818.54,2209710.26,3.055,26-35,Lower Middle,3.0,Low,Good,>60%,60-80%,True,2.46,0.0
LOAN003463,CUST12217,Business Loan,757317.44,95,11.49,2022-10-04,Property,1438232.11,12175.24,Business Expansion,663.0,0.722,0.527,2,38,Current,0,Medium,44729.59,Ananya Gupta,44,Male,Indian,Doctor,Salaried,Chennai,Tamil Nadu,Retail,Gold,Standard,Advisor A,2013-02-28,441162.49,36763.54,497310.18,45385.14,240409.16,141167.51,28594.05,0.203,74160.26,14060.07,783104.48,1.775,36-45,Lower Middle,13.4,Low,Fair,>60%,<=60%,True,1.72,0.0
LOAN003464,CUST11293,Auto Loan,337123.86,49,11.93,2019-01-03,Vehicle,603978.97,8724.87,Vehicle Purchase,768.0,0.183,0.558,0,0,Current,0,Low,2200.41,Kiara Iyer,71,Male,Asian,Factory Supervisor,Salaried,Kolkata,West Bengal,Retail,Jade,Premium,Advisor C,2008-10-03,707988.9,58999.08,827944.13,119205.9,251716.5,140800.06,42688.27,0.303,281598.22,7577.88,1198866.53,1.693,66+,Lower Middle,17.8,Moderate,Very Good,<=35%,<=60%,False,0.48,0.0
LOAN003465,CUST04018,Education Loan,256457.78,70,12.17,2021-08-24,Unsecured,0.0,5134.52,Higher Education,647.0,0.559,,4,68,Current,0,Medium,20451.82,Maya Khan,45,Male,Indian,Factory Supervisor,Self Employed,Ahmedabad,Delhi,Retail,Jade,Standard,Advisor C,2018-04-24,423764.66,35313.72,321432.59,52937.28,89413.35,69084.42,18672.65,0.27,25301.4,13822.82,463783.22,1.094,36-45,Lower Middle,8.2,Low,Fair,45-60%,,True,0.61,0.0
LOAN003466,CUST02305,Home Loan,2437153.06,228,7.94,2023-07-18,Property,3698117.15,20735.85,Home Purchase,687.0,0.572,0.659,2,22,Current,0,Medium,53848.12,Neha Wilson,50,Male,Indian,Shop Owner,Salaried,Delhi,Telangana,Retail,Platinum,Discounted,Advisor F,2010-09-27,722371.69,60197.64,2085552.72,124797.75,542250.41,63961.51,3751.6,0.059,389012.36,15158.66,2752600.88,3.811,46-55,Lower Middle,15.8,Low,Good,45-60%,60-80%,True,3.37,0.0
LOAN003467,CUST13341,Personal Loan,332585.31,39,13.63,2020-12-31,Unsecured,0.0,10603.19,Personal Expense,711.0,0.483,,0,0,Current,0,Low,9280.06,Riya Iyer,52,Female,Indian,Marketing Manager,Salaried,Chennai,West Bengal,Retail,Gold,Premium,Advisor E,2005-05-22,1006005.4,83833.78,2831115.75,529107.91,1326862.63,303950.61,77301.91,0.254,235043.42,34156.9,4687086.29,4.659,46-55,Middle,21.2,Low,Good,45-60%,,False,0.33,0.0
LOAN003468,CUST01247,Home Loan,8857987.65,228,8.83,2018-08-25,Property,13303373.7,80266.43,Home Purchase,668.0,0.608,0.666,0,0,Current,0,Medium,217991.06,Maya Cunningham,63,Female,American,Unknown,Salaried,Lucknow,Maharashtra,Private Banking,Silver,Premium,Advisor E,2008-06-04,1858773.18,154897.76,3524520.85,156940.97,1391493.23,625487.18,257067.89,0.411,48711.09,19029.4,5072955.05,2.729,56-65,High,18.1,Moderate,Fair,>60%,60-80%,False,4.77,3785032.6000000006
LOAN003469,CUST13766,Auto Loan,354515.25,49,9.35,2018-03-14,Vehicle,375577.8,8731.62,Vehicle Purchase,700.0,0.194,0.944,0,0,Current,0,Low,3360.04,Riya Bose,68,Female,Indian,Data Analyst,Salaried,Hyderabad,Telangana,Private Banking,Jade,Standard,Advisor B,2005-09-12,879828.86,73319.07,1129256.8,148031.81,304835.54,100561.36,59634.27,0.593,289332.27,2923.73,1582124.15,1.798,66+,Middle,20.9,Moderate,Good,<=35%,80-95%,False,0.4,0.0
LOAN003470,CUST08328,Home Loan,4402426.15,239,11.85,2025-08-24,Property,8436108.48,48064.49,Home Purchase,651.0,1.35,0.522,2,32,Current,0,High,621617.18,Sai Coleman,60,Male,Indian,Accountant,Salaried,Hyderabad,Telangana,Private Banking,Jade,Premium,Advisor C,2013-05-10,795670.38,66305.87,1065260.75,192367.29,439663.96,220514.27,36555.22,0.166,211128.99,42721.44,1697292.0,2.133,56-65,Lower Middle,13.2,Low,Fair,>60%,<=60%,True,5.53,2705134.1500000004
LOAN003471,CUST05623,Auto Loan,507662.88,60,10.0,2024-11-02,Vehicle,885110.45,10786.34,Vehicle Purchase,689.0,0.561,0.574,0,0,Current,0,Low,10104.39,Aadhya Roy,38,Female,Indian,Nurse,Retired,Chennai,Uttar Pradesh,Private Banking,Silver,Premium,Advisor F,2015-10-10,1196158.79,99679.9,1533273.32,290336.99,557999.93,227841.97,59670.96,0.262,167906.29,32967.68,2381610.24,1.991,36-45,Middle,10.8,Low,Good,45-60%,<=60%,False,0.42,0.0
LOAN003472,CUST09946,Personal Loan,691326.13,38,14.6,2021-12-25,Unsecured,0.0,22829.79,Personal Expense,680.0,0.684,,1,18,Current,0,Medium,34158.59,Vikram Roy,38,Male,Indian,Nurse,Salaried,Bengaluru,Tamil Nadu,Retail,Jade,Standard,Advisor E,2021-11-14,874386.72,72865.56,826598.84,82988.59,418096.55,182925.69,8672.22,0.047,98899.05,24755.47,1327683.98,1.518,36-45,Middle,4.7,Low,Good,>60%,,True,0.79,0.0
LOAN003473,CUST09620,Home Loan,18000000.0,232,7.42,2018-02-10,Property,27888842.96,146308.96,Home Purchase,628.0,0.884,0.645,5,171,Defaulted,1,High,1934987.15,Sara Nair,33,Male,Indian,Data Analyst,Business Owner,Ahmedabad,Tamil Nadu,Private Banking,Silver,Standard,Advisor E,2012-04-06,2899001.75,241583.48,7254031.55,1370959.72,4059802.52,505158.89,143001.05,0.283,22134.05,67398.98,12684793.79,4.376,26-35,High,14.3,Low,Fair,>60%,60-80%,True,6.21,5315206.210000001
LOAN003474,CUST03883,Home Loan,7355997.3,237,9.7,2018-05-02,Property,11939653.11,69820.17,Home Purchase,633.0,0.523,0.616,6,90,Current,0,High,314759.14,Ayaan Patel,44,Female,European,Lawyer,Business Owner,Ahmedabad,Maharashtra,Private Banking,Silver,Standard,Advisor C,2022-07-06,2688000.92,224000.08,3942522.16,720903.76,1570001.65,747518.15,333784.88,0.447,27143.19,48043.81,6233427.57,2.319,36-45,High,4.0,Moderate,Fair,45-60%,60-80%,True,2.74,1122569.7299999995
LOAN003475,CUST14761,Home Loan,1639769.33,234,8.77,2024-09-21,Property,1930648.38,14649.75,Home Purchase,658.0,0.796,0.849,6,66,Late,0,High,78715.57,Meera Coleman,43,Female,Indian,Marketing Manager,Salaried,Chennai,Delhi,Retail,Jade,Standard,Advisor B,2017-02-23,314044.28,26170.36,582294.15,49440.38,259807.95,50166.2,13685.33,0.273,40089.73,4746.25,891542.48,2.839,36-45,Low,9.4,Low,Fair,>60%,80-95%,True,5.22,748226.8500000001
LOAN003476,CUST02008,Auto Loan,238633.37,71,10.6,2021-09-30,Vehicle,421429.87,4538.8,Vehicle Purchase,699.0,0.346,0.566,0,0,Current,0,Low,2533.12,Sara Gupta,23,Female,Indian,Software Engineer,Salaried,Pune,Tamil Nadu,Retail,Silver,Discounted,Advisor E,2016-08-25,483264.09,40272.01,1159405.85,221047.9,602017.71,144621.51,65343.16,0.452,203640.65,11580.69,1982471.46,4.102,18-25,Lower Middle,9.9,Moderate,Good,<=35%,<=60%,False,0.49,0.0
LOAN003477,CUST08285,Home Loan,1058848.71,245,8.63,2023-10-11,Property,1663043.42,9205.56,Home Purchase,685.0,0.247,0.637,0,0,Paid Off,0,Low,8945.41,Aanya Rao,55,Female,American,Retired,Salaried,Lucknow,Karnataka,Retail,Jade,Standard,Advisor A,2007-06-04,483711.29,40309.27,360669.79,38536.79,143729.9,139544.51,27483.23,0.197,182739.6,3747.14,542936.48,1.122,46-55,Lower Middle,19.1,Low,Good,<=35%,60-80%,False,2.19,515912.23
LOAN003478,CUST07360,Home Loan,2081184.79,247,8.65,2022-04-27,Property,2490934.47,18066.73,Home Purchase,632.0,0.793,0.836,3,42,Current,0,Medium,207185.03,Neha Kapoor,28,Female,Indian,Marketing Manager,Retired,Hyderabad,Tamil Nadu,Private Banking,Silver,Standard,Advisor D,2018-06-18,529846.19,44153.85,696338.32,114208.65,278905.45,76532.82,43378.89,0.567,91561.48,18422.47,1089452.42,2.056,26-35,Lower Middle,8.1,Moderate,Fair,>60%,80-95%,True,3.93,991732.3700000001
LOAN003479,CUST09654,Home Loan,4617641.39,240,7.48,2023-02-20,Property,8721676.54,37142.95,Home Purchase,697.0,0.536,0.529,0,0,Current,0,Low,82371.36,Ishaan Verma,35,Male,Indian,Nurse,Self Employed,Ahmedabad,Maharashtra,Private Banking,Silver,Premium,Advisor D,2010-03-11,1147275.35,95606.28,1501324.44,263050.91,673910.14,288955.47,91274.54,0.316,109751.06,19725.42,2438285.49,2.125,26-35,Middle,16.4,Moderate,Good,45-60%,<=60%,False,4.02,2179355.8999999994
LOAN003480,CUST06906,Business Loan,5114200.46,86,12.84,2022-02-20,Unsecured,0.0,91262.83,Business Expansion,683.0,0.659,,3,124,Defaulted,1,Medium,465502.74,Diya Sharma,55,Male,Indian,Software Engineer,Salaried,Ahmedabad,Uttar Pradesh,Priority,Silver,Discounted,Advisor D,2021-09-26,3024514.22,252042.85,4094111.4,794785.67,1364767.75,610849.06,243088.78,0.398,3703614.24,79153.95,6253664.82,2.068,46-55,Affluent,4.8,Moderate,Good,>60%,,True,1.69,0.0
LOAN003481,CUST04440,Home Loan,3503328.15,233,7.26,2025-02-25,Property,4762675.02,28083.0,Home Purchase,669.0,0.641,0.736,0,0,Current,0,Medium,100320.87,Ananya Patel,46,Male,Indian,Business Owner,Business Owner,Chennai,Gujarat,Retail,Jade,Premium,Advisor E,2012-09-14,675816.14,56318.01,1264896.08,190574.86,368782.16,98120.63,22047.71,0.225,190499.39,4798.51,1824253.1,2.699,46-55,Lower Middle,13.9,Low,Fair,>60%,60-80%,False,5.18,1679075.0499999998
LOAN003482,CUST10397,Business Loan,1622566.81,87,11.95,2022-11-22,Unsecured,0.0,27968.61,Business Expansion,613.0,0.791,,3,115,Defaulted,1,High,404126.23,Ananya Wilson,36,Male,Indian,Sales Manager,Contract,Pune,Telangana,Retail,Silver,Discounted,Advisor D,2014-07-04,942420.81,78535.07,1648708.15,274597.81,529452.45,328334.81,198920.61,0.606,47118.44,37833.89,2452758.41,2.603,36-45,Middle,12.1,High,Fair,>60%,,True,1.72,0.0
LOAN003483,CUST06454,Home Loan,11284103.26,229,8.77,2024-10-30,Property,20282240.79,101650.95,Home Purchase,721.0,0.832,0.556,2,42,Current,0,Medium,471355.07,Reyansh Bose,51,Male,Indian,Self Employed,Self Employed,Jaipur,Delhi,Retail,Silver,Standard,Advisor F,2020-10-30,1702434.22,141869.52,3324590.41,479848.06,2115801.93,262097.82,54377.59,0.207,67907.43,9925.58,5920240.4,3.478,46-55,High,5.7,Low,Good,>60%,<=60%,True,6.63,5363862.859999999
